,county,pop2010all,pop2014all,pop2017all,median_age_2010,median_age_2014,median_age_2017,fips,met_healthy_people_obj,age_adjust_death_rate,death_lower_95_CI,death_upper_95_CI,avg_ann_count,recent_trend,recent_5yr_trend,5yr_lower_95_CI,5yr_upper_95_CI,hospice_count,pop2010_50_and_over,pop2014_50_and_over,pop2017_50_and_over,percent_pop2010_50_and_over,percent_pop2014_50_and_over,percent_pop2017_50_and_over,normalized_hospice_rate,FIPS,State,2010_HealthOutcomes_Z-Score,2010_HealthOutcomes_Rank,2010_HealthFactors_Z-Score,2010_HealthFactors_Rank,2010_Mortality_Z-Score,2010_Mortality_Rank,2010_Morbidity_Z-Score,2010_Morbidity_Rank,2010_HealthBehaviors_Z-Score,2010_HealthBehaviors_Rank,2010_ClinicalCare_Z-Score,2010_ClinicalCare_Rank,2014_HealthOutcomes_Z-Score,2014_HealthOutcomes_Rank,2014_HealthFactors_Z-Score,2014_HealthFactors_Rank,2014_Length_of_Life_Z-Score,2014_Length_of_Life_Rank,2014_Quality_of_Life_Z-Score,2014_Quality_of_Life_Rank,2014_HealthBehaviors_Z-Score,2014_HealthBehaviors_Rank,2014_ClinicalCare_Z-Score,2014_ClinicalCare_Rank,2017_HealthOutcomes_Z-Score,2017_HealthOutcomes_Rank,2017_HealthFactors_Z-Score,2017_HealthFactors_Rank,2017_Length_of_Life_Z-Score,2017_Length_of_Life_Rank,2017_Quality_of_Life_Z-Score,2017_Quality_of_Life_Rank,2017_HealthBehaviors_Z-Score,2017_HealthBehaviors_Rank,2017_ClinicalCare_Z-Score,2017_ClinicalCare_Rank,2010_Percent_Fair_Poor_Health,2010_Percent_Smokers,2010_Percent_Obese,2010_Percent_Uninsured,2010_Air_Pollution_Part_Matter_Z-Score,2014_Percent_Fair_Poor_Health,2014_Percent_Smokers,2014_Percent_Obese,2014_Food_Environ_Index_Z-Score,2014_Percent_Physically_Inactive,2014_Percent_Uninsured,2014_Air_Pollution_Part_Matter_Z-Score,2017_Percent_Fair_Poor_Health,2017_Percent_Smokers,2017_Percent_Obese,2017_Food_Environ_Index_Z-Score,2017_Percent_Physically_Inactive,2017_Percent_Uninsured,2017_Air_Pollution_Part_Matter_Z-Score
76,Sequatchie,14127,14634,14736,40.8,42.8,44.0,47153,No,224.3,194.3,257.9,43,rising,1.3,0.3,2.3,0,5214,5855,6158,36.90804842,40.00956676,41.788816499999996,0.0,47153,Tennessee,0.22,63,0.02,47,-0.21,31,0.43,86,0.06,69,-0.02,42,0.68,80,0.13,59,0.17,71,0.51,88,0.16,83,0.05,65,0.38,68,0.09,55,0.15,61,0.23,72,-0.13,16,0.05,61,,,30.9,16.3,-0.80732791,26.5,29.9,34.8,-1.413423986,34.4,17.54015216,-0.23616149999999997,20.13109341,21.43653591,28.3,-1.2249836090000001,32.1,14.63808795,-0.654099456
77,Sevier,89948,94570,97638,41.0,42.4,43.3,47155,No,186.7,175.6,198.3,224,falling,-0.5,-0.9,-0.1,0,33223,37203,39998,36.93578512,39.33911388,40.96560765,0.0,47155,Tennessee,-0.42,23,-0.39,15,-0.31,20,-0.11,36,-0.17,10,-0.06,23,-0.43,23,-0.08,37,-0.27,27,-0.16,31,-0.02,42,0.03,59,-0.39,28,-0.12,35,-0.36,24,-0.03,41,-0.14,13,0.06,65,22.3,26.54,27.3,17.0,-0.80732791,20.7,28.4,30.9,-0.526886405,32.5,22.17764141,-0.9043621340000001,20.67852985,19.87240884,30.6,-0.481858176,37.3,19.50221924,0.8342705640000001
78,Shelby,928552,938434,936961,34.6,35.1,35.6,47157,No,195.0,190.8,199.2,1767,falling,-1.1,-1.2,-1.0,5,268799,290161,299623,28.9481903,30.9197024,31.97817198,0.533640141,47157,Tennessee,0.13,57,0.56,91,0.1,60,0.03,54,0.13,83,-0.08,15,0.03,49,0.12,57,0.04,56,-0.01,48,0.01,54,-0.08,22,0.16,57,0.26,71,-0.12,38,0.28,77,0.01,53,-0.09,18,15.61,21.55,32.8,16.4,3.828153771,15.8,17.3,34.6,2.446328667,29.2,18.16834911,-1.856041824,21.9042298,20.37294876,32.6,2.639268644,28.3,15.03768377,0.090085554
79,Smith,19125,19026,19636,39.9,41.0,41.0,47159,No,192.2,166.8,220.6,43,stable,-6.7,-13.8,1.0,0,6626,7137,7601,34.64575163,37.51182592,38.70951314,0.0,47159,Tennessee,-0.11,38,-0.16,25,0.37,75,-0.48,4,-0.13,21,0.06,72,-0.93,7,-0.17,30,-0.45,11,-0.48,5,-0.07,27,0.08,75,-0.39,29,0.01,48,-0.08,44,-0.32,19,0.0,48,0.04,60,21.07,,28.1,13.6,-0.80732791,12.9,23.5,33.0,-1.2155148,35.3,16.68902439,0.675021183,17.75278143,20.41207484,36.8,-1.373608695,32.0,14.23743664,-0.282006951
80,Stewart,13349,13218,13355,42.9,43.9,44.7,47161,No,218.2,188.3,252.0,40,stable,0.1,-1.2,1.4,0,5169,5440,5754,38.72200165,41.15599939,43.084986900000004,0.0,47161,Tennessee,0.2,61,0.0,46,-0.02,51,0.23,76,0.06,67,0.1,78,0.89,87,-0.01,46,0.48,83,0.41,83,-0.05,35,0.08,74,-0.26,33,-0.02,43,0.09,57,-0.35,15,-0.06,31,0.04,56,,,31.3,17.9,-0.80732791,29.6,,31.3,-0.32109039100000003,37.0,17.33737597,1.970925442,18.76812769,20.42608864,31.4,-0.184608002,34.0,14.8743343,-0.468053204
81,Sullivan,156755,156513,157158,43.7,44.5,45.2,47163,No,181.4,173.6,189.5,425,falling,-0.7,-1.1,-0.4,1,63618,66238,67943,40.58435138,42.32108515,43.23228852,0.63630232,47163,Tennessee,-0.21,37,-0.44,14,-0.12,41,-0.08,40,-0.07,31,-0.25,3,-0.14,44,-0.55,10,-0.2,33,0.06,59,-0.03,40,-0.22,5,-0.57,21,-0.53,10,-0.23,30,-0.34,16,-0.18,9,-0.23,5,19.32,24.4,30.2,15.1,0.035486941,22.1,25.6,33.0,0.501739875,34.4,15.65359815,-1.430823239,18.62514992,20.33639939,30.1,1.0043926909999998,33.3,14.16024479,0.648224311
82,Sumner,161199,172183,183545,38.7,39.3,39.5,47165,Yes,161.2,153.0,169.6,305,falling,-2.2,-3.6,-0.8,1,52391,59773,65448,32.50082197,34.71480924,35.65774061,0.54482552,47165,Tennessee,-1.24,2,-0.52,10,-0.87,4,-0.36,7,-0.15,17,-0.11,12,-1.07,4,-0.91,3,-0.71,5,-0.37,12,-0.27,2,-0.12,13,-1.43,5,-0.87,4,-0.84,4,-0.6,4,-0.25,5,-0.14,11,18.54,25.74,28.2,13.0,0.878301792,20.5,20.0,29.4,-0.8613476390000001,28.3,15.08653123,0.938251735,16.71613963,19.35680315,29.7,-0.927733435,29.3,11.7001004,1.206363069
83,Tipton,61066,61566,61366,36.6,37.5,38.1,47167,No,210.6,194.5,227.6,134,stable,-0.2,-0.8,0.3,0,18292,20394,21200,29.95447549,33.12542637,34.54681746,0.0,47167,Tennessee,-0.06,43,0.46,87,-0.15,38,0.09,60,0.39,93,-0.01,46,-0.19,41,-0.25,23,-0.15,35,-0.04,45,0.06,69,-0.1,19,-0.55,24,-0.02,44,-0.39,22,-0.16,29,0.11,79,-0.08,20,21.39,35.69,33.2,13.2,0.456894367,24.1,25.3,34.6,0.46619549200000004,34.9,14.16547682,-1.18784119,20.02692393,22.3771366,35.4,0.5585174310000001,34.2,11.72830131,0.462178059
84,Trousdale,7874,7993,10083,39.7,40.7,35.6,47169,No,265.5,219.0,319.1,24,stable,0.0,-1.3,1.3,0,2752,2978,3194,34.950469899999995,37.257600399999994,31.67708023,0.0,47169,Tennessee,0.7,84,0.09,57,0.72,89,-0.01,48,0.03,54,0.1,79,0.34,70,0.08,54,-0.07,42,0.41,84,-0.04,38,0.25,91,0.67,76,0.19,65,0.35,73,0.33,80,0.03,60,0.2,92,,,30.9,16.3,-0.385920484,,,32.5,-1.219343874,36.9,18.07030666,0.7155181909999999,20.12650658,22.2856211,32.9,-0.927733435,32.3,15.23326874,-0.09596069900000001
85,Unicoi,18284,17905,17759,45.1,46.2,46.7,47171,No,199.8,176.9,225.3,58,stable,0.1,-0.6,0.7,0,7836,8024,8079,42.85714286,44.81429768,45.49242638,0.0,47171,Tennessee,0.01,47,-0.57,4,0.19,67,-0.18,28,-0.29,2,-0.07,17,0.05,52,-0.29,20,-0.01,49,0.06,57,-0.14,16,0.03,56,0.13,54,-0.09,37,-0.13,36,0.26,74,-0.09,21,0.04,57,22.35,15.96,30.2,14.1,-0.385920484,25.7,23.4,31.4,-0.550858695,39.0,17.47112211,-1.329580719,21.60183169,21.77454239,33.4,-0.333233089,32.0,15.51328069,-1.956423223
86,Union,19118,18990,19442,40.3,41.7,42.7,47173,No,234.2,206.1,265.3,53,stable,-0.5,-1.2,0.2,0,6769,7373,7883,35.40642327,38.82569774,40.5462401,0.0,47173,Tennessee,0.35,71,-0.2,22,0.08,58,0.28,81,-0.19,8,-0.04,32,0.47,74,0.28,73,0.15,69,0.32,82,0.01,55,0.03,60,0.87,83,0.38,80,0.47,81,0.4,85,0.08,71,0.1,80,,,27.5,14.9,0.456894367,,23.8,34.0,-1.241659715,35.6,18.66072519,-1.0258531579999999,21.290290600000002,23.95525485,31.0,-0.927733435,37.6,16.32408575,1.020316816
87,Van Buren,5569,5653,5742,44.6,46.3,47.2,47175,Yes,160.3,122.7,207.4,14,stable,-0.9,-2.4,0.6,0,2358,2562,2653,42.34153349,45.32106846,46.20341344,0.0,47175,Tennessee,0.09,53,0.22,72,-0.04,49,0.13,65,0.01,48,0.06,71,-0.46,22,0.67,91,-0.37,22,-0.09,38,0.27,91,0.08,76,1.11,88,0.19,63,0.89,92,0.22,71,0.06,62,0.11,81,,,30.5,14.8,-0.80732791,19.4,39.4,33.5,-0.7390523259999999,34.0,18.81321645,0.14856007699999998,20.69750185,22.41530448,32.1,-0.779108349,33.5,15.67912489,-1.398284466
88,Warren,39860,39934,40651,39.4,40.3,40.3,47177,No,200.3,183.0,219.0,100,stable,-0.1,-0.8,0.5,0,13998,14758,15214,35.11791269,36.95597736,37.42589358,0.0,47177,Tennessee,0.2,60,0.26,80,-0.03,50,0.23,78,0.14,84,0.08,75,0.11,54,0.19,63,0.0,51,0.12,66,-0.03,41,0.07,73,0.59,73,-0.03,42,0.27,70,0.32,78,-0.01,46,0.07,70,27.53,28.88,31.7,16.9,-0.80732791,26.5,20.9,34.1,-0.369954829,32.7,21.12331384,0.351045118,23.65821237,23.04658601,31.4,-0.779108349,26.2,18.11294347,-0.8401457090000001
89,Washington,123386,125736,127806,39.3,39.9,40.4,47179,No,180.5,171.1,190.3,284,falling,-1.2,-1.6,-0.8,2,43569,46200,48327,35.31113741,36.74365337,37.81277874,1.564871759,47179,Tennessee,-0.22,34,-0.68,3,-0.18,35,-0.04,46,-0.1,26,-0.34,1,-0.6,19,-0.82,5,-0.45,12,-0.16,33,-0.21,6,-0.24,3,-0.61,20,-0.64,8,-0.36,25,-0.26,23,-0.07,28,-0.3,2,20.64,28.6,29.0,13.3,-0.385920484,18.5,24.1,29.3,-0.261711433,30.9,17.10314123,-1.370077727,19.417186800000003,21.90262525,32.2,-0.035982916000000004,30.9,13.254343300000002,0.27613180600000004
90,Wayne,16987,16788,16583,41.0,42.3,43.1,47181,No,207.4,181.4,236.4,47,stable,0.1,-0.6,0.9,1,6151,6501,6654,36.21004297,38.72408863,40.12542966,6.030271965,47181,Tennessee,0.1,55,0.17,68,0.22,68,-0.12,33,-0.15,15,0.21,93,-0.13,45,0.18,61,0.1,62,-0.23,22,-0.12,17,0.2,89,-0.13,42,0.26,72,-0.04,47,-0.09,36,0.12,81,0.16,87,23.57,21.75,30.3,16.9,0.878301792,22.2,22.8,31.5,0.5845260520000001,30.6,19.59807205,-0.114670476,22.82861926,24.2316826,32.7,0.7071425170000001,37.5,15.11864407,-1.212238213
91,Weakley,35042,33987,33337,36.9,37.5,38.3,47183,No,187.0,168.9,206.6,81,stable,-0.3,-0.8,0.3,0,11924,12243,12410,34.02773814,36.02259688,37.22590515,0.0,47183,Tennessee,-0.45,21,-0.08,38,-0.39,15,-0.06,42,-0.08,29,0.07,74,-0.61,18,-0.02,43,-0.38,18,-0.22,23,-0.06,31,-0.01,39,-0.31,32,-0.21,26,-0.41,20,0.1,62,0.01,51,-0.07,25,24.5,22.81,30.9,16.6,0.456894367,23.0,25.4,29.5,0.639918936,36.4,17.81833985,0.837009215,21.69262437,22.12089902,30.9,0.5585174310000001,34.4,12.92107343,0.090085554
92,White,25821,26229,26753,42.1,42.6,42.8,47185,No,216.3,195.1,239.4,79,stable,-0.6,-1.3,0.0,0,10009,10514,10962,38.76302235,40.08540165,40.97484394,0.0,47185,Tennessee,0.0,46,0.03,48,-0.24,27,0.24,79,0.01,46,-0.02,40,-0.2,39,0.18,62,0.12,65,-0.32,13,0.03,59,-0.01,41,0.35,66,-0.13,34,0.38,76,-0.03,39,0.02,56,-0.02,40,27.38,,30.1,13.0,-0.80732791,23.3,29.2,30.3,0.167026557,35.9,18.05052453,0.41179063,21.65789243,22.67199722,31.2,-0.035982916000000004,34.0,14.75238095,-0.8401457090000001
93,Williamson,184130,205213,226257,38.6,38.9,39.0,47187,Yes,127.2,119.8,134.9,239,falling,-3.8,-4.8,-2.9,2,55733,66407,74686,30.26828871,32.36003567,33.00936546,0.8839505520000001,47187,Tennessee,-2.85,1,-1.72,1,-1.73,1,-1.12,1,-0.59,1,-0.23,5,-2.73,1,-2.03,1,-1.72,1,-1.01,1,-0.6,1,-0.49,1,-3.28,1,-2.07,1,-1.73,1,-1.55,1,-0.66,1,-0.5,1,7.67,14.94,25.1,14.2,0.035486941,6.9,10.9,25.9,-2.455738418,23.8,9.222258222999999,1.5659553609999999,11.91546522,14.7006551,25.9,-2.5626093880000003,20.2,7.555622003,0.8342705640000001
94,Wilson,114677,125146,136442,39.3,40.1,39.9,47189,No,170.5,160.4,181.0,229,falling,-2.0,-2.8,-1.2,0,37642,44365,48803,32.82436757,35.45059371,35.76831181,0.0,47189,Tennessee,-0.99,6,-0.44,13,-0.82,5,-0.18,29,-0.01,40,-0.01,45,-1.05,5,-0.63,8,-0.79,4,-0.26,17,0.02,56,-0.11,15,-1.68,2,-0.93,2,-0.94,3,-0.74,3,-0.27,4,-0.13,13,15.73,30.55,29.3,13.5,-0.385920484,16.9,29.0,33.5,-1.571010225,31.7,13.79543735,1.019245751,15.07351769,18.25863073,31.7,-1.373608695,27.6,11.27463913,1.392409321
